Authors,DOI,DataSourceType,FeatureName,Latitude,Longitude,FeatureType,FeatureCategory,ThawType,Imagery,ImageryDates,ImageryResolution_meters
Abbott & Jones (2013),https://doi.org/10.18739/A23T9D71C,Field - published,Tim wt,68.26634,-157.4737,Active layer detachment,Active layer detachment,Abrupt,,,
Abbott & Jones (2013),https://doi.org/10.18739/A23T9D71C,Field - published,Wolf Creek,67.73215,-161.42069,Active layer detachment,Active layer detachment,Abrupt,,,
Abbott & Jones (2013),https://doi.org/10.18739/A23T9D71C,Field - published,3MtA3 WT,68.77053,-149.46891,Thermo-erosion gully,Thermoerosional gully,Abrupt,,,
Abbott & Jones (2013),https://doi.org/10.18739/A23T9D71C,Field - published,3MtA3,68.77053,-149.4689,Thermo-erosion gully,Thermoerosional gully,Abrupt,,,
Abbott & Jones (2013),https://doi.org/10.18739/A23T9D71C,Field - published,Duck lake 3,68.68241,-149.624324,Thermo-erosion gully,Thermoerosional gully,Abrupt,,,
Abbott & Jones (2013),https://doi.org/10.18739/A23T9D71C,Field - published,Honeycomb WT,68.15794,-156.95082,Thermo-erosion gully,Thermoerosional gully,Abrupt,,,
Abbott & Jones (2013),https://doi.org/10.18739/A23T9D71C,Field - published,Honeycomb Gulley,68.1589,-156.9533,Thermo-erosion gully,Thermoerosional gully,Abrupt,,,
Abbott & Jones (2013),https://doi.org/10.18739/A23T9D71C,Field - published,IM1IF,68.5524,-149.5652,Thermo-erosion gully,Thermoerosional gully,Abrupt,,,
Abbott & Jones (2013),https://doi.org/10.18739/A23T9D71C,Field - published,IM1IF WT,68.5527,-149.56625,Thermo-erosion gully,Thermoerosional gully,Abrupt,,,
Abbott & Jones (2013),https://doi.org/10.18739/A23T9D71C,Field - published,IM1 headwall gully WT,68.552613,-149.573159,Thermo-erosion gully,Thermoerosional gully,Abrupt,,,
Abbott & Jones (2013),https://doi.org/10.18739/A23T9D71C,Field - published,IM1 oldgly WT,68.55334,-149.56092,Thermo-erosion gully,Thermoerosional gully,Abrupt,,,
Abbott & Jones (2013),https://doi.org/10.18739/A23T9D71C,Field - published,IM1 orglywt,68.55257,-149.57176,Thermo-erosion gully,Thermoerosional gully,Abrupt,,,
