Latitude,Longitude,Class,Elevation,Slope,Mean curvature (500 m),Mean curvature (2 km),Height Above Nearest Drainage,Upstream Area,Annual Mean Temperature,Mean Diurnal Range,Isothermality,Temperature Seasonality,Max Temperature of Warmest Month,Min Temperature of Coldest Month,Temperature Annual Range,Mean Temperature of Wettest Quarter,Mean Temperature of Driest Quarter,Mean Temperature of Warmest Quarter,Mean Temperature of Coldest Quarter,Annual Precipitation,Precipitation of Wettest Month,Precipitation of Driest Month,Precipitation Seasonality,Precipitation of Wettest Quarter,Precipitation of Driest Quarter,Precipitation of Warmest Quarter,Precipitation of Coldest Quarter,Flammability Index,Mean Annual SWE,Trend in SWE,Trend in precipitation,Trend in temperature,Time Since Last Fire,Burn Count,Yedoma,Northness,Eastness,Land Cover (Dwarf Scrub),Land Cover (Sedge/Herbaceous),Land Cover (Shrub/Scrub),"Land Cover (Developed, Low Intensity)",Land Cover (Open Water),Land Cover (Evergreen Forest),Land Cover (Woody Wetlands),Land Cover (Barren Land (Rock/Sand/Clay)),Land Cover (Emergent Herbaceous Wetlands),Land Cover (Deciduous Forest),Land Cover (Grassland/Herbaceous),Land Cover (Mixed Forest),Land Cover (Cultivated Crops),"Land Cover (Developed, Open Space)","Land Cover (Developed, High Intensity)",Land Cover (Perennial Ice/Snow),"Land Cover (Developed, Medium Intensity)",Land Cover (Pasture/Hay),Vegetation Mode (Graminoid tundra),Vegetation Mode (Shrub tundra),Vegetation Mode (White spruce),Vegetation Mode (Black spruce),Vegetation Mode (Deciduous forest),Vegetation Mode (Wetland tundra),Vegetation Mode (Temperate rainforest),Soil Organic Carbon (0-30 cm),Soil Organic Carbon (30-200 cm),Nitrogen (0-30 cm),Nitrogen (30-200 cm),Bulk Density (0-30 cm),Bulk Density (30-200 cm),Sand (0-30 cm),Sand (30-200 cm),Clay (0-30 cm),Clay (30-200 cm)
68.958551,-150.670385,0,304.4125671386719,1.96319000860682,-0.0001673111627551,-1.3558933087465722e-05,0.0,25.66776466369629,-109.0,108.0,20.0,15177.0,175.0,-362.0,537.0,93.0,-141.0,93.0,-296.0,202.0,45.0,7.0,65.0,99.0,23.0,99.0,29.0,0.0,13.310799598693848,-0.3032000660896301,2.224271297454834,0.0805619657039642,24.0,0.0,0.0,-0.6592673050387062,-0.7519086517037834,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2219.6666666666665,1028.8235294117646,9225.666666666666,5379.64705882353,76.66666666666667,122.29411764705883,321.5,345.2352941176471,226.33333333333334,206.35294117647058
68.4704,-149.3435,0,997.540283203125,13.12434374975962,-2.819469827098579e-05,2.8913552141577264e-05,182.0,0.0316369347274303,-115.0,117.0,22.0,14499.0,165.0,-350.0,515.0,80.0,-229.0,80.0,-287.0,235.0,46.0,8.0,63.0,118.0,28.0,118.0,33.0,0.0,30.297910690307617,-0.2088180929422378,4.0152812004089355,0.0927261784672737,24.0,0.0,0.0,-0.7066569536241001,0.7075563227720508,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1796.0,847.7647058823529,8105.333333333333,3319.7647058823527,84.33333333333333,118.58823529411765,411.1666666666667,433.4705882352941,242.16666666666666,244.1764705882353
67.8592,-161.32561,0,611.1891479492188,9.699778462887396,-0.0002219731528505,6.070817296125627e-05,11.0,0.0194976851344108,-101.0,68.0,17.0,11858.0,110.0,-281.0,391.0,51.0,-145.0,57.0,-234.0,233.0,52.0,8.0,69.0,126.0,30.0,109.0,34.0,0.0006000000284984,137.0699920654297,-4.996469020843506,-4.605982303619385,0.090652659535408,24.0,0.0,0.0,0.491944659801836,-0.8706264708199813,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1659.6666666666667,741.6470588235294,8652.666666666666,3998.823529411765,94.5,109.6470588235294,355.8333333333333,447.3529411764706,205.83333333333334,207.47058823529412
68.2825,-157.05268,0,738.1994018554688,3.748119765183916,-0.0003889244335011,-2.470973096301502e-05,0.0,1.505895733833313,-120.0,81.0,18.0,13083.0,113.0,-323.0,436.0,38.0,-155.0,53.0,-273.0,242.0,53.0,8.0,63.0,121.0,36.0,116.0,36.0,0.0,41.049686431884766,-0.5545381307601929,5.106522560119629,0.0423644669353961,24.0,0.0,0.0,-0.7707154228560993,0.6371795170685763,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1397.3333333333333,637.4117647058823,8419.0,3538.3529411764707,89.16666666666667,116.29411764705883,354.6666666666667,410.88235294117646,238.16666666666666,242.88235294117646
67.98202,-157.07449,0,546.437744140625,11.94085858078011,-0.0001748221092938,4.787557136905546e-06,3.199951171875,0.0193953905254602,-107.0,83.0,18.0,13306.0,128.0,-314.0,442.0,52.0,-137.0,68.0,-265.0,247.0,54.0,9.0,63.0,122.0,37.0,116.0,37.0,0.0,39.58864212036133,-0.7033725380897522,2.30061411857605,0.0665209889411926,24.0,0.0,0.0,0.9211578086631436,0.389189274696664,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2298.8333333333335,906.0,8203.666666666666,3627.0588235294117,76.5,113.52941176470588,378.1666666666667,438.05882352941177,210.66666666666666,235.88235294117646
67.92794,-161.42398,0,442.285400390625,7.919704976806156,-6.94374673774732e-05,-9.727574530897516e-06,65.29998779296875,0.1620506048202514,-94.0,68.0,17.0,11903.0,116.0,-276.0,392.0,58.0,-136.0,64.0,-228.0,225.0,50.0,8.0,70.0,122.0,29.0,104.0,32.0,0.0057000000961124,91.77962493896484,-3.2173540592193604,-3.765970945358277,0.1215973496437072,24.0,0.0,0.0,0.970451724054092,-0.24129536108355,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2000.3333333333333,749.7058823529412,7128.333333333333,3966.9411764705883,89.66666666666667,118.58823529411765,366.0,450.8235294117647,164.33333333333334,178.41176470588235
68.26322,-157.72916,0,603.853515625,6.988228145822528,-0.0003864479620164,-4.896858775968071e-06,0.0,1.8103512525558472,-112.0,78.0,18.0,12881.0,115.0,-311.0,426.0,44.0,-147.0,58.0,-263.0,232.0,51.0,8.0,64.0,117.0,34.0,110.0,34.0,0.0,46.671356201171875,-0.3797601163387298,5.466369152069092,0.066940814256668,24.0,0.0,0.0,-0.6663932202018961,-0.7456004801962961,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1523.0,607.8235294117648,10393.0,4118.35294117647,81.66666666666667,111.88235294117646,351.6666666666667,412.29411764705884,237.83333333333334,239.35294117647058
68.262574,-157.705669,0,705.3450927734375,4.055076208053674,8.181246192379623e-05,6.733806756858057e-05,15.0,0.0287343710660934,-113.0,78.0,18.0,12843.0,114.0,-312.0,426.0,43.0,-148.0,57.0,-263.0,233.0,51.0,8.0,65.0,118.0,34.0,112.0,34.0,0.0,47.98462677001953,-0.4072581529617309,5.509105682373047,0.0627231746912002,24.0,0.0,0.0,-0.6006505150018954,-0.7995117002445667,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1452.6666666666667,583.5294117647059,9776.0,3851.823529411765,84.33333333333333,116.70588235294117,374.0,421.05882352941177,229.33333333333334,248.23529411764704
68.269757,-157.678884,0,751.8135986328125,3.151092877155675,5.4796101978836835e-05,1.449657822876504e-05,25.9000244140625,0.2042958587408065,-115.0,78.0,18.0,12857.0,112.0,-314.0,426.0,41.0,-151.0,55.0,-265.0,233.0,51.0,8.0,65.0,118.0,34.0,112.0,34.0,0.0,48.674781799316406,-0.539598822593689,5.237532615661621,0.0579037740826606,24.0,0.0,0.0,0.1825203574581052,0.9832020744045272,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1762.8333333333333,724.4117647058823,9782.5,3921.8823529411766,83.66666666666667,114.52941176470588,366.5,434.0,228.16666666666666,239.2941176470588
68.26731,-157.47039,0,669.4011840820312,3.2879886244425585,-9.817651012869306e-05,-2.9973784619227475e-05,0.0,2.6475472450256348,-115.0,80.0,18.0,12948.0,115.0,-316.0,431.0,42.0,-150.0,56.0,-267.0,234.0,51.0,8.0,65.0,118.0,34.0,112.0,34.0,0.0,45.55316925048828,-0.6271648406982422,4.35775089263916,0.0520308651030063,24.0,0.0,0.0,-0.02146332055652,0.9997696364016504,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1852.1666666666667,768.3529411764706,8629.166666666666,3401.5882352941176,81.83333333333333,110.88235294117646,365.3333333333333,430.0,199.66666666666666,194.41176470588235
