Authors,DOI,Latitude,Longitude,Thaw Type (abrupt vs gradual),Feature Type,Site Name
Abbott & Jones 2020,doi:10.18739/A23T9D71C,68.06579,-158.91894,Abrupt,TS,NA
Abbott & Jones 2020,doi:10.18739/A23T9D71C,68.5554,-149.5747,Abrupt,TS,NA
Abbott & Jones 2020,doi:10.18739/A23T9D71C,68.5537,-149.5588,Abrupt,TS,NA
Abbott & Jones 2020,doi:10.18739/A23T9D71C,68.554682,-149.575954,Abrupt,TS,NA
Abbott & Jones 2020,doi:10.18739/A23T9D71C,68.08454,-158.02721,Abrupt,TS,NA
Abbott & Jones 2020,doi:10.18739/A23T9D71C,68.677901,-149.623493,Abrupt,TS,NA
Abbott & Jones 2020,doi:10.18739/A23T9D71C,68.678454,-149.62639,Abrupt,TS,NA
Abbott & Jones 2020,doi:10.18739/A23T9D71C,68.678195,-149.628724,Abrupt,TS,NA
Abbott & Jones 2020,doi:10.18739/A23T9D71C,68.08844,-158.0413,Abrupt,TS,NA
Abbott & Jones 2020,doi:10.18739/A23T9D71C,68.01936,-159.2421,Abrupt,TS,NA
Abbott & Jones 2020,doi:10.18739/A23T9D71C,68.525019,-149.543817,Abrupt,TS,NA
Abbott & Jones 2020,doi:10.18739/A23T9D71C,68.523239,-149.532094,Abrupt,TS,NA
Abbott & Jones 2020,doi:10.18739/A23T9D71C,68.525644,-149.544049,Abrupt,TS,NA
Abbott & Jones 2020,doi:10.18739/A23T9D71C,68.526061,-149.54319,Abrupt,TS,NA
Abbott & Jones 2020,doi:10.18739/A23T9D71C,68.525019,-149.539186,Abrupt,TS,NA
Abbott & Jones 2020,doi:10.18739/A23T9D71C,68.985503,-150.717242,Abrupt,TS,NA
Abbott & Jones 2020,doi:10.18739/A23T9D71C,68.04517,-158.80459,Abrupt,TS,NA
Abbott & Jones 2020,doi:10.18739/A23T9D71C,68.963423,-150.732598,Abrupt,TS,NA
Abbott & Jones 2020,doi:10.18739/A23T9D71C,68.882584,-150.575489,Abrupt,TS,NA
Abbott & Jones 2020,doi:10.18739/A23T9D71C,68.875634,-150.546675,Abrupt,TS,NA
Abbott & Jones 2020,doi:10.18739/A23T9D71C,68.6666,-149.8188,Abrupt,TS,NA
Abbott & Jones 2020,doi:10.18739/A23T9D71C,68.667799,-149.819846,Abrupt,TS,NA
Abbott & Jones 2020,doi:10.18739/A23T9D71C,67.86232,-157.52834,Abrupt,TS,NA
Abbott & Jones 2020,doi:10.18739/A23T9D71C,67.87618,-157.53116,Abrupt,TS,NA
Abbott & Jones 2020,doi:10.18739/A23T9D71C,66.497011,-157.60838,Abrupt,TS,NA
Abbott & Jones 2020,doi:10.18739/A23T9D71C,69.5683,-150.8701,Abrupt,TS,NA
Abbott & Jones 2020,doi:10.18739/A23T9D71C,68.527,-149.511,Abrupt,TS,NA
Abbott & Jones 2020,doi:10.18739/A23T9D71C,68.05297,-158.579,Abrupt,TS,NA
Abbott & Jones 2020,doi:10.18739/A23T9D71C,67.962,-156.7889,Abrupt,TS,NA
Abbott & Jones 2020,doi:10.18739/A23T9D71C,67.96171,-156.79151,Abrupt,TS,NA
Abbott & Jones 2020,doi:10.18739/A23T9D71C,67.9619,-156.792,Abrupt,TS,NA
Abbott & Jones 2020,doi:10.18739/A23T9D71C,67.90087,-156.48305,Abrupt,TS,NA
Anderson et al. 2019,https://doi.org/10.3389/feart.2019.00053,66.089,-146.73,NA,Thermokarst,NA
Balser & Jorgenson 2016,doi:10.18739/A2JG7M,68.87147,-149.57768,Abrupt,thermokarst,NA
Balser & Jorgenson 2016,doi:10.18739/A2JG7M,68.87148,-149.57768,Abrupt,thermokarst,NA
Balser & Jorgenson 2016,doi:10.18739/A2JG7M,68.67904,-149.6232,Abrupt,thermokarst,NA
Balser & Jorgenson 2016,doi:10.18739/A2JG7M,68.54337,-149.5226,Abrupt,thermokarst,NA
Balser & Jorgenson 2016,doi:10.18739/A2JG7M,68.54345,-149.52273,Abrupt,thermokarst,NA
Balser & Jorgenson 2016,doi:10.18739/A2JG7M,68.52534,-149.54644,Abrupt,thermokarst,NA
Balser & Jorgenson 2016,doi:10.18739/A2JG7M,68.5251,-149.53815,Abrupt,thermokarst,NA
Balser & Jorgenson 2016,doi:10.18739/A2JG7M,68.50268,-149.58901,Abrupt,thermokarst,NA
Balser & Jorgenson 2016,doi:10.18739/A2JG7M,68.50806,-149.57433,Abrupt,thermokarst,NA
Balser & Jorgenson 2016,doi:10.18739/A2JG7M,68.51121,-149.58395,Abrupt,thermokarst,NA
Balser & Jorgenson 2016,doi:10.18739/A2JG7M,68.6936,-149.2043,Abrupt,thermokarst,NA
Balser & Jorgenson 2016,doi:10.18739/A2JG7M,68.69177,-149.20751,Abrupt,thermokarst,NA
Balser & Jorgenson 2016,doi:10.18739/A2JG7M,68.55253,-149.57169,Abrupt,thermokarst,NA
Balser & Jorgenson 2016,doi:10.18739/A2JG7M,68.55244,-149.57229,Abrupt,thermokarst,NA
Balser & Jorgenson 2016,doi:10.18739/A2JG7M,68.61919,-149.42786,Abrupt,thermokarst,NA
Balser & Jorgenson 2016,doi:10.18739/A2JG7M,68.55231,-149.57081,Abrupt,thermokarst,NA
Balser & Jorgenson 2016,doi:10.18739/A2JG7M,68.96278,-150.67086,Abrupt,thermokarst,NA
Balser & Jorgenson 2016,doi:10.18739/A2JG7M,68.96067,-150.6697,Abrupt,thermokarst,NA
Balser & Jorgenson 2016,doi:10.18739/A2JG7M,68.50267,-149.58873,Abrupt,thermokarst,NA
Balser & Jorgenson 2016,doi:10.18739/A2JG7M,68.50785,-149.57474,Abrupt,thermokarst,NA
Balser & Jorgenson 2016,doi:10.18739/A2JG7M,68.96068,-150.31443,Abrupt,thermokarst,NA
Balser & Jorgenson 2016,doi:10.18739/A2JG7M,67.92794,-161.9723,Abrupt,thermokarst,NA
Balser & Jorgenson 2016,doi:10.18739/A2JG7M,67.9273,-161.96506,Abrupt,thermokarst,NA
Balser & Jorgenson 2016,doi:10.18739/A2JG7M,67.92515,-161.41811,Abrupt,thermokarst,NA
Balser & Jorgenson 2016,doi:10.18739/A2JG7M,67.94305,-162.35649,Abrupt,thermokarst,NA
Balser & Jorgenson 2016,doi:10.18739/A2JG7M,68.03481,-159.29156,Abrupt,thermokarst,NA
Balser & Jorgenson 2016,doi:10.18739/A2JG7M,67.71618,-161.43026,Abrupt,thermokarst,NA
Balser & Jorgenson 2016,doi:10.18739/A2JG7M,67.8179,-161.44655,Abrupt,thermokarst,NA
Balser & Jorgenson 2016,doi:10.18739/A2JG7M,67.73697,-161.42747,Abrupt,thermokarst,NA
Balser & Jorgenson 2016,doi:10.18739/A2JG7M,67.86342,-161.48044,Abrupt,thermokarst,NA
Balser & Jorgenson 2016,doi:10.18739/A2JG7M,67.64853,-161.60562,Abrupt,thermokarst,NA
Balser & Jorgenson 2016,doi:10.18739/A2JG7M,67.8477,-163.88159,Abrupt,thermokarst,NA
Balser & Jorgenson 2016,doi:10.18739/A2JG7M,68.55272,-149.56517,Abrupt,thermokarst,NA
Balser & Jorgenson 2016,doi:10.18739/A2JG7M,68.87938,-150.55647,Abrupt,thermokarst,NA
Balser & Jorgenson 2016,doi:10.18739/A2JG7M,68.8762,-150.54552,Abrupt,thermokarst,NA
Balser & Jorgenson 2016,doi:10.18739/A2JG7M,68.98551,-150.71714,Abrupt,thermokarst,NA
Balser & Jorgenson 2016,doi:10.18739/A2JG7M,68.91054,-150.74004,Abrupt,thermokarst,NA
Balser & Jorgenson 2016,doi:10.18739/A2JG7M,68.9621,-150.66755,Abrupt,thermokarst,NA
Balser & Jorgenson 2016,doi:10.18739/A2JG7M,68.66615,-149.8172,Abrupt,thermokarst,NA
Balser & Jorgenson 2016,doi:10.18739/A2JG7M,68.52585,-149.545,Abrupt,thermokarst,NA
Balser & Jorgenson 2016,doi:10.18739/A2JG7M,68.2807,-157.05966,Abrupt,thermokarst,NA
Balser & Jorgenson 2016,doi:10.18739/A2JG7M,67.89927,-156.48472,Abrupt,thermokarst,NA
Balser & Jorgenson 2016,doi:10.18739/A2JG7M,67.95929,-156.78624,Abrupt,thermokarst,NA
Balser & Jorgenson 2016,doi:10.18739/A2JG7M,67.95835,-156.81985,Abrupt,thermokarst,NA
Balser & Jorgenson 2016,doi:10.18739/A2JG7M,68.27005,-157.68447,Abrupt,thermokarst,NA
Balser & Jorgenson 2016,doi:10.18739/A2JG7M,68.26651,-157.47338,Abrupt,thermokarst,NA
Balser & Jorgenson 2016,doi:10.18739/A2JG7M,67.87649,-157.53053,Abrupt,thermokarst,NA
Balser & Jorgenson 2016,doi:10.18739/A2JG7M,67.98045,-157.07511,Abrupt,thermokarst,NA
Balser & Jorgenson 2016,doi:10.18739/A2JG7M,68.08324,-158.02727,Abrupt,thermokarst,NA
Balser & Jorgenson 2016,doi:10.18739/A2JG7M,68.08735,-158.04102,Abrupt,thermokarst,NA
Bowden et al. 2008,https://doi.org/10.1029/2007JG000470,68.7088,-149.8609,Abrupt,Thaw Slump,NA
Bowden et al. 2008,https://doi.org/10.1029/2007JG000470,68.6907,-149.8418,Abrupt,Thaw Slump,NA
Bowden et al. 2008,https://doi.org/10.1029/2007JG000470,68.6332,-149.7967,Abrupt,Thaw Slump,NA
Bowden et al. 2008,https://doi.org/10.1029/2007JG000470,68.5878,-149.7906,Abrupt,Thaw Slump,NA
Bowden et al. 2008,https://doi.org/10.1029/2007JG000470,68.5908,-149.7807,Abrupt,Thermokarst Gulley,NA
Bowden et al. 2008,https://doi.org/10.1029/2007JG000470,68.5469,-149.7566,Abrupt,Thaw Slump,NA
Bowden et al. 2008,https://doi.org/10.1029/2007JG000470,68.5691,-149.753,Abrupt,Thaw Slump,NA
Bowden et al. 2008,https://doi.org/10.1029/2007JG000470,68.6409,-149.7422,Abrupt,Thaw Slump,NA
Bowden et al. 2008,https://doi.org/10.1029/2007JG000470,68.7065,-149.7378,Abrupt,Thermokarst Gulley,NA
Bowden et al. 2008,https://doi.org/10.1029/2007JG000470,68.5543,-149.687,Abrupt,Thermokarst Gulley,NA
Bowden et al. 2008,https://doi.org/10.1029/2007JG000470,68.8882,-149.6339,Abrupt,Polygonal Thermokarst,NA
Bowden et al. 2008,https://doi.org/10.1029/2007JG000470,68.8868,-149.6212,Abrupt,Thermokarst Gulley,NA
Bowden et al. 2008,https://doi.org/10.1029/2007JG000470,68.7845,-149.6203,Abrupt,Thermokarst Gulley,NA
Bowden et al. 2008,https://doi.org/10.1029/2007JG000470,68.6793,-149.6202,Abrupt,Glacial Thermokarst,NA
Bowden et al. 2008,https://doi.org/10.1029/2007JG000470,68.5971,-149.5978,Abrupt,Thaw Slump,NA
Bowden et al. 2008,https://doi.org/10.1029/2007JG000470,68.8717,-149.5745,Abrupt,Thermokarst Gulley,NA
